ID,age,income,max_ant,months,score,zone,level,house_type,risk
1540,38,5192,0,126,178,Oriente,EdBasica,Alquilada,1
548,40,25389,35,263,172,Capital,Profesional,Alquilada,0
784,53,22000,94,246,172,Capital,Profesional,Alquilada,0
897,33,7250,46,132,182,Capital,Profesional,Alquilada,0
968,43,16000,119,222,185,Capital,Profesional,Alquilada,0
1009,40,9900,35,198,211,Capital,Profesional,Alquilada,0
1074,41,6000,29,189,221,Capital,Profesional,Alquilada,0
1133,30,7500,23,123,187,Capital,Profesional,Alquilada,0
1152,37,1200,38,146,189,Capital,Profesional,Alquilada,0
1328,36,30000,42,210,187,Capital,Profesional,Alquilada,0
1437,40,2100,0,198,204,Capital,Profesional,Alquilada,0
1750,30,11200,0,206,162,Capital,Profesional,Alquilada,1
2384,31,3300.33,0,218,202,Capital,Profesional,Alquilada,1
2431,36,3900,93,256,164,Capital,Profesional,Alquilada,1
2490,39,12000,93,149,182,Capital,Profesional,Alquilada,1
3614,29,4900,9,194,215,Capital,Profesional,Alquilada,1
3872,36,14000,10,218,223,Capital,Profesional,Alquilada,1
3956,27,13429,11,154,199,Capital,Profesional,Alquilada,1
4126,35,5250,51,210,180,Capital,Profesional,Alquilada,1
4571,37,14000,25,162,189,Capital,Profesional,Alquilada,1
4572,37,14000,25,162,189,Capital,Profesional,Alquilada,1
4747,37,15000,19,157,189,Capital,Profesional,Alquilada,1
4847,48,20000,39,174,185,Capital,Profesional,Alquilada,1
4907,38,5897.7,16,256,184,Capital,Profesional,Alquilada,1
4823,38,2650,44,197,196,Centro,Profesional,Alquilada,1
330,38,6935,40,166,177,Norte,Profesional,Alquilada,0
808,33,4103.59,42,209,191,Norte,Profesional,Alquilada,0
1178,69,6600,20,210,199,Norte,Profesional,Alquilada,0
2410,33,2120,10,186,186,Norte,Profesional,Alquilada,1
2807,46,10148,6,132,192,Norte,Profesional,Alquilada,1
3059,38,2500,0,205,182,Norte,Profesional,Alquilada,1
3453,40,6500,45,135,184,Norte,Profesional,Alquilada,1
3470,40,6500,46,135,191,Norte,Profesional,Alquilada,1
4274,33,2100,29,137,189,Norte,Profesional,Alquilada,1
4319,29,3838.41,37,182,187,Norte,Profesional,Alquilada,1
4770,39,30000,99,219,187,Norte,Profesional,Alquilada,1
4775,37,6000,0,172,208,Norte,Profesional,Alquilada,1
3340,28,4073.4,39,213,162,Sur,Profesional,Alquilada,1
4653,39,3546,24,209,213,Sur,Profesional,Alquilada,1
3528,53,6000,15,131,199,Capital,Superior,Alquilada,1
3863,21,3250,23,152,160,Capital,Superior,Alquilada,1
956,42,9546,97,222,187,Norte,Superior,Alquilada,0
4372,29,2000,8,137,182,Sur,Superior,Alquilada,1
1048,34,3200,59,172,181,Capital,Tecnico,Alquilada,0
1428,49,6531.87,66,285,203,Capital,Tecnico,Alquilada,0
1651,21,1200,0,126,136,Capital,Tecnico,Alquilada,1
4910,31,10675,0,229,179,Capital,Tecnico,Alquilada,1
67,29,1860,0,160,167,Norte,Tecnico,Alquilada,0
746,33,3373.88,20,154,179,Norte,Tecnico,Alquilada,0
3784,52,3099,39,234,196,Norte,Tecnico,Alquilada,1
175,25,1524.72,0,132,184,Capital,EdBasica,Familiar,0
379,28,800,37,133,173,Capital,EdBasica,Familiar,0
783,34,1400,0,271,177,Capital,EdBasica,Familiar,0
881,36,5854.51,14,132,192,Capital,EdBasica,Familiar,0
1441,54,25000,0,184,209,Capital,EdBasica,Familiar,0
1536,30,15926,0,152,190,Capital,EdBasica,Familiar,1
1598,35,718.88,8,149,175,Capital,EdBasica,Familiar,1
1631,41,1062.93,0,155,161,Capital,EdBasica,Familiar,1
1757,28,2000,16,153,171,Capital,EdBasica,Familiar,1
1818,27,750,9,150,186,Capital,EdBasica,Familiar,1
1878,28,5200,0,201,190,Capital,EdBasica,Familiar,1
2175,34,2200,0,128,185,Capital,EdBasica,Familiar,1
2220,60,1671,0,221,176,Capital,EdBasica,Familiar,1
2243,39,1900,0,280,180,Capital,EdBasica,Familiar,1
2284,33,1600,0,330,181,Capital,EdBasica,Familiar,1
2301,25,898.97,30,179,186,Capital,EdBasica,Familiar,1
2314,32,1000,20,169,181,Capital,EdBasica,Familiar,1
2443,30,8979,49,217,183,Capital,EdBasica,Familiar,1
2486,29,1428,0,177,204,Capital,EdBasica,Familiar,1
2495,37,741.71,0,138,175,Capital,EdBasica,Familiar,1
2536,21,5000,0,133,178,Capital,EdBasica,Familiar,1
2594,59,8000,0,301,196,Capital,EdBasica,Familiar,1
2680,40,2743.5,0,126,214,Capital,EdBasica,Familiar,1
2707,24,1004,0,129,154,Capital,EdBasica,Familiar,1
2731,31,1144.34,0,135,168,Capital,EdBasica,Familiar,1
2740,42,1013,0,169,178,Capital,EdBasica,Familiar,1
2865,45,1200,0,256,170,Capital,EdBasica,Familiar,1
2902,26,619.79,39,162,160,Capital,EdBasica,Familiar,1
2975,59,800,0,244,167,Capital,EdBasica,Familiar,1
3015,24,1017.82,0,131,154,Capital,EdBasica,Familiar,1
3017,31,2110.89,0,112,190,Capital,EdBasica,Familiar,1
3061,26,1470.56,36,149,160,Capital,EdBasica,Familiar,1
3081,28,2200,35,198,190,Capital,EdBasica,Familiar,1
3293,52,30000,0,291,209,Capital,EdBasica,Familiar,1
3328,50,732.05,0,216,201,Capital,EdBasica,Familiar,1
3390,42,2200,0,178,195,Capital,EdBasica,Familiar,1
3483,37,1306.93,14,133,175,Capital,EdBasica,Familiar,1
3707,37,1000,13,159,168,Capital,EdBasica,Familiar,1
3716,32,15000,0,246,197,Capital,EdBasica,Familiar,1
3771,30,7000,0,199,182,Capital,EdBasica,Familiar,1
3905,57,934.26,0,236,194,Capital,EdBasica,Familiar,1
4052,50,1004.56,16,181,180,Capital,EdBasica,Familiar,1
4102,37,2483,28,272,215,Capital,EdBasica,Familiar,1
4443,36,1875,23,163,180,Capital,EdBasica,Familiar,1
4543,29,2079,0,118,171,Capital,EdBasica,Familiar,1
4666,41,1305.76,17,140,183,Capital,EdBasica,Familiar,1
4857,45,2460,64,293,195,Capital,EdBasica,Familiar,1
736,47,3698.98,0,378,195,Centro,EdBasica,Familiar,0
1145,45,3802.35,64,389,195,Centro,EdBasica,Familiar,0
1957,33,1103.43,0,132,168,Centro,EdBasica,Familiar,1
2226,,2171.5,0,114,178,Centro,EdBasica,Familiar,1
2758,24,3250.4,0,125,184,Centro,EdBasica,Familiar,1
2890,37,1538,0,148,170,Centro,EdBasica,Familiar,1
3002,26,1100,0,177,160,Centro,EdBasica,Familiar,1
3006,44,1338.88,0,118,178,Centro,EdBasica,Familiar,1
3058,21,1355.38,0,150,154,Centro,EdBasica,Familiar,1
